name,class,subclass,description,hp,hp_backed,hp_cooked,effect_cooked,duration_bonus_cooked,selling_price,food_recipe
Raw Whole Bird,Material,Meat,"This prized meat can be obtained from certain birds. It gets full points for flavor, nutrition, and volume. It pairs perfectly with other ingredients or can be enjoyed alone.",3,4.5,6,,0:30,35,"Frozen Whole Bird, Gourmet Poultry Curry, Gourmet Poultry Pilaf, Roasted Whole Bird, Spicy Pepper Steak, Meat & Mushroom Skewer, Energizing Glazed Meat, Meat and Rice Bowl, Meat Pie, Meat Skewer, Copious Meat Skewers, Meaty Rice Balls, Tough Meat-Stuffed Pumpkin, Monster Stew"
Razorclaw Crab,Material,Seafood,"This crab is well known for its exceptionally sharp pincers. When cooked, the strength compound in its claws will increase your attack power.",1,1.5,2,Mighty,0:50,8,"Frozen Crab, Crab Omelet with Rice, Crab Risotto, Crab Stir-Fry, Blackened Crab, Salt-Grilled Crab, Seafood Skewer, Monster Stew"
Razorshroom,Material,Shroom,This mushroom is known for the natural slice in its cap. Eating it fosters your competitive spirit. Use it when cooking to prepare a dish that will increase your strength.,0.5,0.75,1,Mighty,0:50,5,"Toasty Razorshroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer"
Restless Cricket,Material,Critter,A very energetic cricket. Cook it with monster parts to create a stamina-recovery elixir.,,,,Energizing,,2,"Energizing Elixir, Dubious Food"
Rock Salt,Material,Ore,Crystallized salt from the ancient sea commonly used to season meals. Cannot be eaten in this form.,,,,,"First 1:00, 0:30",2,"Salt-Grilled Crab, Salt-Grilled Fish, Salt-Grilled Gourmet Meat, Salt-Grilled Meat, Crab Omelet with Rice, Crab Risotto, Cream of Mushroom Soup, Cream of Vegetable Soup, Creamy Meat Soup, Creamy Seafood Soup, Fish Pie, Gourmet Meat and Rice Bowl, Meat and Rice Bowl, Meat Pie, Monster Rice Balls, Prime Meat and Rice Bowl, Salmon Risotto, Salt-Grilled Greens, Salt-Grilled Prime Meat, Seafood Fried Rice, Vegetable Omelet, Vegetable Risotto, Veggie Cream Soup, Wheat Bread, Salt-Grilled Mushrooms, Mushroom Omelet, Mushroom Risotto"
Ruby,Material,Ore,A precious red gem mined from large ore deposits found throughout Hyrule. Rubies contain the power of fire and have fetched a high price since ancient times.,,,,,,210,
Rugged Rhino Beetle,Material,Critter,"This beetle's hard body resembles armor. When the shell is cooked with monster parts, the resulting elixir boosts your defense.",,,,Tough,0:50,4,"Tough Elixir, Dubious Food"
Rushroom,Material,Shroom,A mushroom that can grow almost anywhere but prefers ceilings and sheer cliffs. Cook it before eating to temporarily increase your movement speed.,0.5,0.75,1,Hasty,1:00,3,"Toasty Rushroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer"
Sanke Carp,Material,Seafood,This wild armored carp has been bred into a prizewinning fish. Its beautifully colored markings do not occur in nature. It offers no special effects when cooked.,1,1.5,2,,0:30,20,"Frozen Carp, Roasted Carp, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew"
Sapphire,Material,Ore,A precious blue gem mined from natural rock formations. Sapphires contain the very essence of ice. They've been known to fetch a high price since ancient times.,,,,,,260,
Silent Princess,Material,Plant,"This lovely flower was said to have been a favorite of the princess of Hyrule. Once feared to have gone extinct, it's recently been spotted growing in the wild.",,,2,Sneaky,2:00,10,
Silent Shroom,Material,Shroom,"A strange mushroom that glows quietly in the forest at night. Cooking it into a dish unlocks the nutrients in its cap, resulting in a meal that will allow you to move stealthily.",0.5,0.75,1,Sneaky,2:00,3,"Toasty Silent Shroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer"
Sizzlefin Trout,Material,Seafood,"This red trout prefers warm bodies of water. It has a special organ specifically for storing heat. When cooked into a dish, it temporarily boosts your resistance to the cold.",1,1.5,2,Spicy,2:30,6,"Frozen Trout, Roasted Trout, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew"
Smotherwing Butterfly,Material,Critter,"This rare butterfly lives in volcanic regions. Its body contains a heat-resistant liquid, which can be turned into a topical elixir that offers resistance to flames.",,,,Fireproof,2:30,2,"Fireproof Elixir, Dubious Food"
Sneaky River Snail,Material,Seafood,"This large, glow-in-the-dark snail lives in fresh water. When cooked into a dish, it heightens your senses so you can move about silently.",1,1.5,2,Sneaky,2:00,6,"Frozen River Snail, Sneaky River Escargot, Salt-Grilled Fish, Seafood Skewer, Monster Stew"
Spicy Pepper,Material,Fruit,This pepper is exploding with spice. Cook with it to create dishes that will raise your body temperature and help you withstand the cold.,0.5,0.75,1,Spicy,2:30,3,"Pepper Seafood, Spicy Pepper Steak, Spicy Sautéed Peppers, Charred Pepper, Fruit and Mushroom Mix, Simmered Fruit, Fruit Pie, Fruitcake, Honeyed Fruits, Copious Simmered Fruit"
Stamella Shroom,Material,Shroom,A green mushroom that grows near trees in the forest. It's chock-full of natural energy. Cook it to release its stamina-restoration properties.,0.5,1.5,1,Energizing,,5,"Toasty Stamella Shroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer"
Staminoka Bass,Material,Seafood,This Hyrule bass got to be the biggest fish by never getting caught (until now). Its long life results in a cooked dish that will restore a lot of stamina.,1,1.5,2,Energizing,,18,"Roasted Bass, Frozen Bass, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew"
Star Fragment,Material,Ingredient,"A mysterious stone fragment that fell from the sky. It looks like it would fetch a good price, but you may be able to use it in certain recipes as well.",,,,Bonus,0:30,300,
Stealthfin Trout,Material,Seafood,Consuming the bioluminescent compound that makes this fish glow in the dark will increase concentration. Dishes cooked with it will suppress noise when consumed.,1,1.5,2,Sneaky,2:00,10,"Frozen Trout, Roasted Trout, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew"
Summerwing Butterfly,Material,Critter,A butterfly found in the woods and plains of warm regions. Its wings absorb the warmth of the sun. Cook it with monster parts to create an elixir that makes you feel warm and fuzzy.,,,,Spicy,2:30,2,"Spicy Elixir, Dubious Food"
Sunset Firefly,Material,Critter,"These fireflies glow gently in the dark. When cooked with monster parts, the compound that causes it to glow results in an elixir that will allow you to move more quietly.",,,,Sneaky,2:00,2,"Sneaky Elixir, Dubious Food"
Sunshroom,Material,Shroom,"A bright red mushroom that grows in hot climates. Imbued with the power of heat, they can be used to cook dishes that will allow you to endure the bitter cold.",0.5,0.75,1,Spicy,2:30,4,"Toasty Sunshroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer"
Swift Carrot,Material,Vegetable,"This carrot is cultivated extensively in Kakariko Village. It strengthens the legs and hips when cooked into a dish, which helps increase your movement speed.",0.5,0.75,1,Hasty,1:00,4,"Roasted Swift Carrot, Carrot Cake, Carrot Stew, Vegetable Curry, Vegetable Risotto, Veggie Cream Soup"
Swift Violet,Material,Plant,"This vitality-rich flower blooms mainly on cliffsides. When cooked into a dish, the nourishing compounds increase your movement speed.",,,,Hasty,1:00,10,
Tabantha Wheat,Material,Ingredient,This grain is cultivated extensively on the Tabantha Plains. It's ground finely with a millstone to be used in cooking. Use it to make things such as stews and breads.,1,,2,,0:30,3,"Apple Pie, Carrot Cake, Egg Tart, Fish Pie, Hearty Salmon Muenière, Meat Pie, Monster Cake, Wheat Bread, Carrot Stew, Fried Bananas, Fruit Pie, Fruitcake, Gourmet Meat Stew, Hearty Clam Chowder, Honey Crepe, Monster Soup, Nutcake, Plain Crepe, Porgy Meunière, Prime Meat Stew, Pumpkin Pie, Pumpkin Stew, Seafood Meunière, Wildberry Crepe"
Thunderwing Butterfly,Material,Critter,"This rare butterfly only shows itself when it rains. The organs in its body produce an insulating compound. When made into an elixir, it offers electrical resistance.",,,,Electro,2:30,2,"Electro Elixir, Dubious Food"
Tireless Frog,Material,Critter,"This rare frog only ventures out in the rain. When cooked with monster parts, the elixir it produces will temporarily increase your maximum stamina.",,,4,Enduring,,20,"Enduring Elixir, Dubious Food"
Topaz,Material,Ore,This precious yellow gem contains the power of electricity. It's been known to fetch a high price since ancient times.,,,,,,180,
Voltfin Trout,Material,Seafood,"This trout makes its home in the freshwater lakes. Its scales have an insulating compound that, when cooked into a dish, offers resistance to electricity.",1,1.5,2,Electro,2:30,6,"Frozen Trout, Roasted Trout, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew"
Voltfruit,Material,Fruit,"Cacti found in the Gerudo Desert bear this sweet fruit. It's naturally insulated, so when cooked into a dish, it provides resistance against electricity.",0.5,0.75,1,Electro,2:30,4,"Roasted Voltfruit, Creamy Heart Soup, Fruit and Mushroom Mix, Simmered Fruit, Fruit Pie, Fruitcake, Honeyed Fruits, Copious Simmered Fruit"
Warm Darner,Material,Critter,This dragonfly has a special organ that causes it to sweat profusely. Cook it with monster parts for an elixir that will raise your core temperatures so you can resist the cold.,,,,Spicy,2:30,2,"Spicy Elixir, Dubious Food"
Warm Safflina,Material,Plant,"This medicinal plant grows in hot regions, such as the Gerudo Desert. It's warm to the touch and increases your cold resistance when cooked into a dish.",,,,Spicy,2:30,3,
Wildberry,Material,Fruit,"A fruit that grows in cold, snowy regions known for its tangy, sweet flavor. It doesn't offer any special effects, but it's a popular cooking ingredient.",0.5,0.75,1,,0:30,3,"Wildberry Crepe, Roasted Wildberry, Fruitcake, Fruit and Mushroom Mix, Simmered Fruit, Fruit Pie, Honeyed Fruits, Copious Simmered Fruit"
Winterwing Butterfly,Material,Critter,The powdery scales of this butterfly's wings cool the air around it. Watching it flutter around snowflakes is a thing of beauty. Cook it with monster parts for a heat-resistant elixir.,,,,Chilly,2:30,2,"Chilly Elixir, Dubious Food"
Wood,Material,Wood,A portable bundle of wood. You can use this to make a campfire if you have something to light it.,,,,,,2,Dubious Food
Zapshroom,Material,Shroom,"This mushroom grows wild in the Gerudo region. The cap is naturally insulated, so when used in cooking, it will offer protection against electricity.",0.5,0.75,1,Electro,2:30,4,"Toasty Zapshroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer"
Any Mushroom,group,,,,,,,,,"Cream of Mushroom Soup, Steamed Mushrooms"
Any Vegetable (except Carrot or Pumpkin),group,,,,,,,,,Cream of Vegetable Soup
Any 4 different Seafood,group,,,,,,,,,Copious Fish Skewers
Any Vegetable,group,,,,,,,,,"Fried Wild Greens, Cream of Mushroom Soup, Creamy Meat Soup, Creamy Seafood Soup, Glazed Veggies, Salt-Grilled Greens, Steamed Fish, Steamed Fruit, Vegetable Omelet, Veggie Rice Balls, Steamed Mushrooms"
"Any 4 different Vegetables, Herbs or Flowers",group,,,,,,,,,Copious Fried Wild Greens
Any Fruit,group,,,,,,,,,Steamed Fruit
Any Meat,group,,,,,,,,,"Meat and Seafood Fry, Creamy Meat Soup, Steamed Meat"
Wood or ore,group,,,,,,,,,Rock-Hard Food
Any Seafood (except Porgy or Salmon),group,,,,,,,,,Seafood Meunière
Any Flower or Herb,group,,,,,,,,,"Cream of Mushroom Soup, Cream of Vegetable Soup, Creamy Meat Soup, Creamy Seafood Soup, Fried Wild Greens, Glazed Veggies, Herb Sauté, Salt-Grilled Greens, Steamed Fish, Steamed Fruit, Vegetable Omelet, Veggie Rice Balls, Steamed Meat, Steamed Mushrooms"
Any Seafood,group,,,,,,,,,"Creamy Seafood Soup, Fish Pie, Glazed Seafood, Gourmet Meat and Seafood Fry, Meat and Seafood Fry, Pepper Seafood, Prime Meat and Seafood Fry, Seafood Rice Balls, Steamed Fish"
Any Monster Part,group,,,,,,,,,Dubious Food
Any Vegetable (except Pumpkin),group,,,,,,,,,Steamed Meat
Octo Balloon,Material,Monster Part,"This inflatable Octorok organ has a lot of lift, so attach it to items you want to see float. Hold it in your hands, and then place it on an object to attach it.",,,,,1:10,5,
Ancient Screw,Material,Monster Part,"A screw used in ancient machinery. It's made of an unknown material, and no matter how many times it's turned, its threads never seem to show signs of wear.",,,,,1:10,12,
Keese Wing,Material,Monster Part,"The wing of a Keese. It's covered with very short, sharp fur. It's not much use by itself, but you can mix it with critters to make something useful.",,,,,1:10,2,
Moblin Horn,Material,Monster Part,"This splendid horn once grew atop the head of a Moblin. It can't be used in normal food recipes, but it does have some use as an ingredient in making elixirs.",,,,,1:10,5,
Bokoblin Horn,Material,Monster Part,"The severed horn of a Bokoblin, a creature often encountered on the plains of Hyrule. It isn't edible, but it can be tossed into a stew with some critters to make an elixir.",,,,,1:10,3,
Chuchu Jelly,Material,Monster Part,"A gelatinous substance that came from a Chuchu. It's unusable in this state, but applying a bit of elemental stimulation will change its form.",,,,,1:10,5,
Ancient Spring,Material,Monster Part,"A spring used in ancient machinery. It is light and buoyant enough to float on water, and no matter how many times it's compressed, it never loses tension.",,,,,1:10,15,
Octorok Eyeball,Material,Monster Part,"This can only be obtained from an Octorok-type enemy. You can sell it to a store, or you can make elixirs with it, but it may have other uses, as well.",,,,,1:50,25,
Bokoblin Fang,Material,Monster Part,"A tooth obtained from a Bokoblin. It's worn down and not very sharp, but it's still pretty hard. Cook it alongside a critter to make an elixir.",,,,,1:50,8,
Lizalfos Horn,Material,Monster Part,"This winding horn once grew atop the head of a Lizalfos. It's too hard to use for cooking, but stores are willing to buy it from you. It can also be used to make elixirs.",,,,,1:10,10,
Octorok Tentacle,Material,Monster Part,"This can only be obtained from an Octorok-type enemy. It's too acidic for cooking, but it's highly valued as an ingredient for elixirs.",,,,,1:10,10,
Red Chuchu Jelly,Material,Monster Part,"A jiggly substance that normally comes from a Fire Chuchu. It constantly gives off heat. If struck, it will explode in a ball of flame.",,,,,1:50,10,
White Chuchu Jelly,Material,Monster Part,"A jiggly substance that came from an Ice Chuchu. It's cool to the touch, and squeezing it seems to relieve stress. If struck, it will explode in a cold mist.",,,,,1:50,10,
Yellow Chuchu Jelly,Material,Monster Part,"A jiggly substance that came from an Electric Chuchu. Electricity pulses through its gelatinous mass. If struck, it will explode in a burst of electric current.",,,,,1:50,10,
Electric Keese Wing,Material,Monster Part,"A rare Electric Keese wing. The part of the Electric Keese that produces electricity is not in its wings, so it won't shock you. Toss it in with some critters to make elixirs.",,,,,1:50,6,
Fire Keese Wing,Material,Monster Part,"A rare Fire Keese wing. There isn't enough Fire Keese attached to it to burn you, but it does have a slight warmth to it. It can be used as an ingredient for elixirs.",,,,,1:50,6,
Moblin Fang,Material,Monster Part,"A sharp fang obtained from a Moblin. It's too hard to be reshaped into a tool, but it can be tossed into a stew with some critters to create elixirs.",,,,,1:50,12,
Lizalfos Talon,Material,Monster Part,"This talon once grew from the elbow of a Lizalfos. You can stew it with critters to make elixirs, but it may have some other uses, as well.",,,,,1:50,15,
Ancient Gear,Material,Monster Part,"A gear used in ancient machinery. Despite being incredibly old, its build quality is leaps and bounds above anything built using current technology.",,,,,1:50,30,
Bokoblin Guts,Material,Monster Part,"A rare material obtained by defeating a Bokoblin. It convulses on its own every now and then, which is really creepy, but perhaps it has a use.",,,,,3:10,20,
Keese Eyeball,Material,Monster Part,"A rare material dropped by a defeated Keese. It's fun to look at, but it doesn't seem to have much use at first glance. But it must be good for something...",,,,,3:10,20,
Lizalfos Tail,Material,Monster Part,The severed tail of a Lizalfos. It continues to wriggle even after being separated from its body. That kind of vitality makes it highly valued as an ingredient in elixirs.,,,,,3:10,28,
Moblin Guts,Material,Monster Part,"This prized ingredient can be obtained from Moblins. Its odor is too pungent for normal food preparation, but stew it with some critters to make elixirs.",,,,,3:10,25,
Hinox Toenail,Material,Monster Part,A nail obtained from a Hinox. It's as thick as a plate of armor and can be stewed with critters to make elixirs.,,,,,1:10,20,
Molduga Fin,Material,Monster Part,"A sturdy fin obtained from a Molduga. It can be used to make elixirs, but there may be someone willing to trade for it.",,,,,1:50,30,
Icy Lizalfos Tail,Material,Monster Part,"The severed tail of an Ice-Breath Lizalfos. Its hard scales and flesh make it unsuitable for cooking, but it's perfect for making elixirs.",,,,,3:10,35,
Red Lizalfos Tail,Material,Monster Part,"The severed tail of a Fire-Breath Lizalfos. Its flavor makes the flesh inedible, but toss it into a stew with some critters, and you'll have yourself a nice elixir.",,,,,3:10,35,
Yellow Lizalfos Tail,Material,Monster Part,"The severed tail of an Electric Lizalfos. Its powerful stench makes it unappetizing and unfit for cooking, but it's highly valued as an ingredient for elixirs.",,,,,3:10,35,
Hinox Tooth,Material,Monster Part,"A tooth obtained from a Hinox. It's so large, it's hard to believe it's a real tooth. It can be used to make elixirs.",,,,,1:50,35,
Ancient Shaft,Material,Monster Part,"A machine part used in ancient machinery. It's incredibly sturdy, and it's not made of any recognizable material. It may come in handy someday.",,,,,1:50,40,
Lynel Horn,Material,Monster Part,The Lynel this horn once grew upon surely misses it. It's exceptionally hard—so hard that most blades cannot scratch it. Throw it into a stew with critters to make elixirs.,,,,,1:10,40,
Lynel Hoof,Material,Monster Part,This rare ingredient can be obtained only from a Lynel's foot. It's larger and heavier than a horse's hoof. It's useful for making elixirs but may have uses beyond that.,,,,,1:50,50,
Hinox Guts,Material,Monster Part,"A giant, smelly Hinox organ of unknown function. Upon closer inspection, it appears to be quivering, It can be used to make an elixir, but some say it has other uses, as well.",,,,,3:10,80,
Dinraal's Scale,Material,Monster Part,"This precious scale fell from the red spirit Dinraal. It emanates a great heat, You can use it in cooking, but eating it seems like a waste.",,,1.25,Bonus,1:30,150,
Farosh's Scale,Material,Monster Part,"This precious scale fell from the golden spirit Farosh. It contains powerful electricity within. You can cook it, but eating it seems like a waste.",,,1.25,Bonus,1:30,150,
Naydra's Scale,Material,Monster Part,"This precious scale fell from the blue spirit Naydra. It contains a bitter cold within. You can use it in cooking, but just eating it seems like a waste.",,,1.25,Bonus,1:30,150,
Ancient Core,Material,Monster Part,This crystal was made using lost technology. At one time it was the power source for ancient machines. This item is very valuable to researchers.,,,,,3:10,80,
Lynel Guts,Material,Monster Part,"This highly sought-after ingredient can only be obtained from a Lynel. It pulses with the vitality of a Lynel, a strength that makes it invaluable as an ingredient for elixirs.",,,,,3:10,200,
Shard of Dinraal's Fang,Material,Monster Part,"This shard fell from the red spirit Dinraal's fang. It's exceptionally hard and therefore impossible to process, but apparently it can be used as a material for something.",,,2.5,Bonus,10:30,250,
Shard of Farosh's Fang,Material,Monster Part,"This shard fell from the golden spirit Farosh's fang. It's so hard, hammers bounce right off it, so it's impossible to process. Yet rumors say it does have some use as a material.",,,2.5,Bonus,10:30,250,
Shard of Naydra's Fang,Material,Monster Part,"This shard fell from the blue spirit Naydra's fang. It's much harder than any metal, so it's impossible to process. Yet rumors say it can be used as a material for something.",,,2.5,Bonus,10:30,250,
Shard of Dinraal's Horn,Material,Monster Part,"This shard chipped and fell off the red spirit Dinraal. Its horn is said to be the crystallized power of fire itself. It sells for a high price, but rumors say there's some other use for it.",,,3.75,Bonus,30:00:00,300,
Shard of Farosh's Horn,Material,Monster Part,"This shard fell off the golden spirit Farosh. It's said the horn is the crystallized power of electricity itself. It sells for a lot, but there must be some other use for it.",,,3.75,Bonus,30:00:00,300,
Shard of Naydra's Horn,Material,Monster Part,"This shard chipped and fell off the blue spirit Naydra. It's said the horn is the crystallized power of ice itself. It sells for quite a bit, but rumors say it has some other use.",,,3.75,Bonus,30:00:00,300,
